epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,325.297,1.85813,1.48573,1.99068,0.647,0.48743,0.45814,0.21862,2.01569,2.11847,2.45703,0.00628101,0.00628101,0.00628101
44,331.821,1.90939,1.52914,2.01695,0.60579,0.38193,0.40533,0.17949,2.11373,2.56135,2.49958,0.00612981,0.00612981,0.00612981
45,338.772,1.85989,1.46818,2.00162,0.57877,0.37274,0.39103,0.15777,2.24233,2.54032,2.68047,0.00597754,0.00597754,0.00597754
46,346.641,1.88024,1.51059,2.03873,0.58896,0.37111,0.41901,0.18135,2.06811,2.08915,2.47299,0.00582435,0.00582435,0.00582435
47,354.172,1.80656,1.46485,1.98605,0.55829,0.47955,0.46869,0.22374,2.0851,2.04017,2.50895,0.0056704,0.0056704,0.0056704
48,361.774,1.83322,1.43706,1.98743,0.55308,0.44924,0.46836,0.22676,2.04104,2.02449,2.46704,0.00551584,0.00551584,0.00551584
49,369.399,1.85122,1.44542,1.99746,0.55765,0.47902,0.46306,0.24033,2.02198,2.03141,2.46933,0.00536081,0.00536081,0.00536081
50,377.721,1.82926,1.5187,2.02602,0.70244,0.44085,0.47911,0.2249,2.15936,2.20088,2.60409,0.00520548,0.00520548,0.00520548
51,385.847,1.76596,1.44231,1.96988,0.76525,0.41986,0.44915,0.19539,2.2507,2.21371,2.63625,0.00505,0.00505,0.00505
52,393.296,1.75564,1.38879,1.93489,0.66953,0.46922,0.4692,0.23485,2.05668,1.97165,2.49898,0.00489452,0.00489452,0.00489452
53,400.569,1.73349,1.37134,1.92204,0.74264,0.47052,0.48731,0.23845,1.98186,2.04522,2.43339,0.00473919,0.00473919,0.00473919
54,407.843,1.76509,1.36962,1.91019,0.61513,0.44634,0.45577,0.2156,2.05387,2.25326,2.4861,0.00458416,0.00458416,0.00458416
55,415.189,1.77596,1.41995,1.9519,0.64797,0.46937,0.47643,0.22995,2.05807,2.0187,2.52424,0.0044296,0.0044296,0.0044296
56,423.453,1.81132,1.44119,1.99489,0.59203,0.48997,0.48371,0.25419,2.02544,2.02591,2.44756,0.00427565,0.00427565,0.00427565
57,430.907,1.78592,1.39462,1.9401,0.569,0.4569,0.49046,0.24157,2.03722,2.09955,2.46437,0.00412246,0.00412246,0.00412246
58,438.416,1.7606,1.39536,1.92628,0.63666,0.49914,0.49257,0.25468,1.96726,1.91493,2.40131,0.00397019,0.00397019,0.00397019
59,445.621,1.74249,1.3439,1.90494,0.56487,0.50589,0.48218,0.24977,1.93848,1.94527,2.38352,0.00381899,0.00381899,0.00381899
60,452.615,1.73843,1.34239,1.90077,0.67246,0.49749,0.49569,0.24368,1.94207,1.85311,2.40034,0.00366899,0.00366899,0.00366899
61,460.117,1.68165,1.36227,1.88051,0.64582,0.45679,0.48748,0.25252,1.92121,1.92006,2.38891,0.00352037,0.00352037,0.00352037
62,466.889,1.71667,1.32735,1.82799,0.66078,0.45885,0.47079,0.21494,2.13445,2.18103,2.52935,0.00337325,0.00337325,0.00337325
63,474.629,1.66025,1.31495,1.87775,0.74998,0.47927,0.49216,0.25509,1.96409,1.99584,2.4112,0.00322778,0.00322778,0.00322778
64,482.525,1.66943,1.31294,1.87032,0.73567,0.51103,0.4978,0.26254,1.90127,1.79738,2.35046,0.00308412,0.00308412,0.00308412
65,490.543,1.64591,1.30371,1.87269,0.74248,0.48005,0.50268,0.25641,1.94769,1.86723,2.36663,0.00294239,0.00294239,0.00294239
66,497.736,1.64009,1.30445,1.83668,0.71567,0.48045,0.47544,0.24944,1.8971,1.88653,2.34793,0.00280275,0.00280275,0.00280275
67,505.072,1.68437,1.31133,1.89962,0.66706,0.45637,0.45517,0.21076,2.0915,2.05886,2.54452,0.00266532,0.00266532,0.00266532
68,513.181,1.62511,1.29644,1.86604,0.59412,0.48391,0.49318,0.22665,2.11059,1.99964,2.55549,0.00253024,0.00253024,0.00253024
69,521.032,1.61918,1.28372,1.8169,0.6287,0.45801,0.50032,0.25583,2.00669,1.97203,2.38624,0.00239766,0.00239766,0.00239766
70,528.499,1.63177,1.27789,1.85835,0.7771,0.48615,0.48414,0.25441,1.91028,1.78883,2.33483,0.00226769,0.00226769,0.00226769
71,536.493,1.6207,1.26795,1.84717,0.71611,0.52517,0.50688,0.26821,1.87252,1.83437,2.31469,0.00214046,0.00214046,0.00214046
72,543.696,1.59771,1.25332,1.79984,0.6125,0.50456,0.50645,0.25912,1.92965,1.87588,2.36933,0.00201611,0.00201611,0.00201611
73,550.668,1.59355,1.22247,1.78913,0.59529,0.47023,0.48553,0.24687,2.00869,1.93176,2.44651,0.00189475,0.00189475,0.00189475
74,558.378,1.58662,1.23961,1.8601,0.6831,0.51108,0.49825,0.25887,1.84194,1.82681,2.30557,0.00177651,0.00177651,0.00177651
75,566.059,1.59138,1.2451,1.82837,0.67641,0.51361,0.49329,0.26755,1.86162,1.83883,2.30902,0.00166149,0.00166149,0.00166149
76,572.237,1.58147,1.18647,1.72801,0.74815,0.52089,0.49745,0.27032,1.90412,1.85602,2.35093,0.00154982,0.00154982,0.00154982
77,579.815,1.58003,1.2054,1.77674,0.6921,0.49509,0.48712,0.25746,1.93324,1.83889,2.36361,0.00144161,0.00144161,0.00144161
78,587.045,1.60771,1.27772,1.83382,0.64501,0.50662,0.47839,0.24016,2.03211,1.97884,2.46558,0.00133695,0.00133695,0.00133695
79,594.76,1.54541,1.23212,1.8044,0.68063,0.49614,0.50741,0.25577,1.9193,1.83569,2.35694,0.00123596,0.00123596,0.00123596
80,602.272,1.53631,1.18549,1.79554,0.69333,0.5135,0.51347,0.27318,1.82009,1.72306,2.25903,0.00113873,0.00113873,0.00113873
81,609.373,1.54628,1.17963,1.7465,0.70334,0.50837,0.5081,0.27519,1.82737,1.66387,2.2691,0.00104537,0.00104537,0.00104537
82,617.748,1.58184,1.24414,1.81492,0.74454,0.49574,0.50138,0.25541,1.96869,1.83728,2.42532,0.000955951,0.000955951,0.000955951
83,625.551,1.56744,1.24482,1.80832,0.70768,0.51172,0.50681,0.27619,1.82099,1.76925,2.25433,0.000870577,0.000870577,0.000870577
84,633.83,1.54892,1.20084,1.78514,0.75196,0.51363,0.50721,0.27257,1.82013,1.71822,2.25261,0.000789327,0.000789327,0.000789327
85,640.979,1.51375,1.145,1.71814,0.75187,0.51211,0.50453,0.27428,1.80956,1.70966,2.25082,0.000712282,0.000712282,0.000712282
86,648.736,1.52154,1.19625,1.79604,0.70631,0.51675,0.50986,0.27726,1.8055,1.69334,2.24275,0.000639518,0.000639518,0.000639518
87,656.211,1.53093,1.20675,1.75502,0.7059,0.51947,0.51055,0.27754,1.78577,1.69113,2.24646,0.000571106,0.000571106,0.000571106
88,663.853,1.52283,1.1655,1.72974,0.70217,0.51936,0.50968,0.2738,1.80538,1.70437,2.26726,0.000507115,0.000507115,0.000507115
89,670.531,1.47469,1.11907,1.6986,0.70667,0.52175,0.51558,0.27823,1.82314,1.73901,2.2608,0.000447606,0.000447606,0.000447606
90,678.352,1.5043,1.19503,1.74438,0.69826,0.52158,0.51325,0.27931,1.78343,1.72248,2.22393,0.00039264,0.00039264,0.00039264
91,686.457,1.65963,1.29757,1.95958,0.68927,0.51135,0.50233,0.27735,1.77801,1.7165,2.23782,0.00034227,0.00034227,0.00034227
92,693.28,1.62736,1.20392,1.92203,0.62455,0.51991,0.49911,0.24264,2.0453,1.91884,2.49932,0.000296546,0.000296546,0.000296546
93,700,1.59413,1.211,1.91059,0.59855,0.51226,0.48951,0.22214,2.09918,2.00215,2.55716,0.000255513,0.000255513,0.000255513
94,707.164,1.56063,1.19469,1.9183,0.70844,0.47525,0.50262,0.24636,2.02602,1.9116,2.48573,0.000219212,0.000219212,0.000219212
95,714.045,1.55452,1.17931,1.89266,0.71944,0.48729,0.50823,0.25241,1.99728,1.88714,2.44534,0.000187678,0.000187678,0.000187678
96,721.885,1.52544,1.18016,1.89788,0.70675,0.49454,0.5112,0.26615,1.93231,1.84244,2.38517,0.000160943,0.000160943,0.000160943
97,730.798,1.5298,1.23403,1.96802,0.74322,0.50485,0.51679,0.27712,1.87317,1.78787,2.3424,0.000139032,0.000139032,0.000139032
98,737.749,1.53596,1.14748,1.83336,0.73784,0.50628,0.51563,0.28013,1.85832,1.75964,2.346,0.000121968,0.000121968,0.000121968
99,745.061,1.50008,1.16342,1.86221,0.70831,0.51311,0.51499,0.26251,1.92948,1.83767,2.43046,0.000109768,0.000109768,0.000109768
100,753.97,1.57098,1.22344,1.95704,0.7088,0.50242,0.51525,0.2724,1.88448,1.79315,2.38897,0.000102443,0.000102443,0.000102443
