epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31792.4,1.24253,1.65404,1.27013,0.56158,0.40553,0.43575,0.30236,1.20346,1.40272,1.24156,0.00643101,0.00643101,0.00643101
43,32557.2,1.24042,1.64929,1.2689,0.56359,0.40702,0.43695,0.30386,1.20158,1.39647,1.23942,0.00628101,0.00628101,0.00628101
44,33323.2,1.23894,1.64161,1.26556,0.56419,0.40749,0.43834,0.30494,1.19971,1.39054,1.23653,0.00612981,0.00612981,0.00612981
45,34090.2,1.23583,1.63395,1.26388,0.56596,0.40791,0.44015,0.30655,1.19841,1.38436,1.23441,0.00597754,0.00597754,0.00597754
46,34852.3,1.23335,1.62666,1.26157,0.56987,0.40741,0.44181,0.30769,1.19716,1.37935,1.23254,0.00582435,0.00582435,0.00582435
47,35609.6,1.23114,1.62227,1.26043,0.57184,0.40789,0.44326,0.30877,1.19629,1.37519,1.23076,0.0056704,0.0056704,0.0056704
48,36368.2,1.22818,1.61403,1.25791,0.57118,0.41014,0.4443,0.30973,1.19545,1.37143,1.22925,0.00551584,0.00551584,0.00551584
49,37125.3,1.2268,1.61088,1.25509,0.57142,0.41317,0.44591,0.31093,1.19388,1.36684,1.22717,0.00536081,0.00536081,0.00536081
50,37881.5,1.22366,1.60298,1.25336,0.57157,0.41364,0.44733,0.31206,1.19222,1.36205,1.22521,0.00520548,0.00520548,0.00520548
51,38637.6,1.22054,1.5942,1.25098,0.5709,0.41744,0.44902,0.31313,1.1901,1.35711,1.2228,0.00505,0.00505,0.00505
52,39393,1.2181,1.58698,1.24849,0.57522,0.4173,0.45048,0.31484,1.18788,1.35278,1.22092,0.00489452,0.00489452,0.00489452
53,40148.7,1.21449,1.58131,1.24624,0.57574,0.42017,0.45204,0.31586,1.18625,1.34845,1.21906,0.00473919,0.00473919,0.00473919
54,40902.8,1.21379,1.57558,1.24566,0.57717,0.42134,0.4536,0.31701,1.18449,1.34421,1.21706,0.00458416,0.00458416,0.00458416
55,41657.3,1.20956,1.56953,1.24399,0.5766,0.42421,0.45518,0.31836,1.18274,1.3408,1.21517,0.0044296,0.0044296,0.0044296
56,42412.5,1.2068,1.5631,1.24077,0.5778,0.42431,0.45648,0.31943,1.18141,1.33747,1.21398,0.00427565,0.00427565,0.00427565
57,43165.4,1.20621,1.55602,1.23871,0.57658,0.42656,0.45844,0.32096,1.17972,1.33364,1.21203,0.00412246,0.00412246,0.00412246
58,43919.8,1.20235,1.5515,1.23774,0.57944,0.42723,0.46002,0.32175,1.1786,1.32993,1.21059,0.00397019,0.00397019,0.00397019
59,44673.8,1.2008,1.54255,1.23529,0.58422,0.42611,0.461,0.32289,1.17746,1.32686,1.20929,0.00381899,0.00381899,0.00381899
60,45428.5,1.19619,1.5363,1.23374,0.58759,0.4275,0.46279,0.32413,1.17557,1.32393,1.20782,0.00366899,0.00366899,0.00366899
61,46183.8,1.19431,1.52882,1.23169,0.59135,0.42721,0.46358,0.32531,1.17377,1.32167,1.2059,0.00352037,0.00352037,0.00352037
62,46939.2,1.19067,1.51928,1.22804,0.5899,0.42834,0.46482,0.32599,1.17276,1.31898,1.2043,0.00337325,0.00337325,0.00337325
63,47694.5,1.18839,1.51279,1.22592,0.58822,0.42971,0.46575,0.32692,1.17051,1.31637,1.20205,0.00322778,0.00322778,0.00322778
64,48450.7,1.18627,1.50617,1.22454,0.58972,0.43279,0.46732,0.32796,1.16954,1.31293,1.20077,0.00308412,0.00308412,0.00308412
65,49206.2,1.18317,1.50068,1.22209,0.5918,0.43267,0.4687,0.3293,1.16897,1.31042,1.19996,0.00294239,0.00294239,0.00294239
66,49962.1,1.17935,1.4918,1.21935,0.59315,0.43353,0.46982,0.33039,1.16716,1.30745,1.19845,0.00280275,0.00280275,0.00280275
67,50718,1.17697,1.48215,1.21696,0.59529,0.43428,0.47135,0.33104,1.16603,1.30463,1.19704,0.00266532,0.00266532,0.00266532
68,51473.8,1.17436,1.4797,1.21559,0.60137,0.4337,0.47217,0.33185,1.1647,1.30178,1.19563,0.00253024,0.00253024,0.00253024
69,52232.8,1.17219,1.47372,1.21433,0.598,0.43638,0.47317,0.33306,1.16397,1.29883,1.19452,0.00239766,0.00239766,0.00239766
70,767.902,1.16378,1.45616,1.21008,0.59879,0.43846,0.47435,0.33406,1.16293,1.2939,1.19334,0.00226769,0.00226769,0.00226769
71,1522.04,1.16521,1.45461,1.20967,0.60102,0.4387,0.47566,0.33509,1.16118,1.28896,1.19186,0.00214046,0.00214046,0.00214046
72,2274.81,1.16354,1.44658,1.20766,0.60875,0.43589,0.47689,0.33608,1.15995,1.28502,1.19056,0.00201611,0.00201611,0.00201611
